Project,Despach N° RA-20XX-XXXX,SampleID_Init,SampleID_Fin,TotalSample_SE,Weight SE,SampleType,Target,Laboratory,Prepared Method,Analytical Method,DispatchDate,Over Limit,Analytes,ReceivedDate,ResultDate,Workorder,Location,Responsible
BRAR,RA-2023-0062,BR0011924,BR0012022,99,252.93,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/13/2023,NA,NA,4/17/2023,5/25/2023,GQ2304175,VESPASIANO/MG,SDS
BRAR,RA-2023-0063,BR0012023,BR0012116,94,223.52,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/13/2023,NA,NA,4/17/2023,5/25/2023,GQ2304178,VESPASIANO/MG,SDS
BRAR,RA-2023-0064,BR0012117,BR0012228,112,291.23,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/13/2023,NA,NA,4/17/2023,5/31/2023,GQ2304180,VESPASIANO/MG,SDS
BRAR,RA-2023-0065,BR0012229,BR0012326,98,263.03,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/19/2023,NA,NA,4/24/2023,6/1/2023,GQ2304527,VESPASIANO/MG,ULS
BRAR,RA-2023-0066,BR0012327,BR0012397,71,186.84,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/19/2023,NA,NA,4/24/2023,6/5/2023,GQ2304528,VESPASIANO/MG,ULS
BRAR,RA-2023-0067,BR0012398,BR0012492,95,259.69,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/28/2023,NA,NA,5/2/2023,6/7/2023,GQ2305115,VESPASIANO/MG,SDS
BRAR,RA-2023-0068,BR0012493,BR0012585,93,246.08,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/28/2023,NA,NA,5/2/2023,6/7/2023,GQ2305116,VESPASIANO/MG,SDS
BRAR,RA-2023-0069,BR0012586,BR0012679,94,256.62,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/28/2023,NA,NA,5/2/2023,6/13/2023,GQ2305118,VESPASIANO/MG,SDS
BRAR,RA-2023-0070,BR0012680,BR0012776,97,252.06,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/28/2023,NA,NA,5/2/2023,6/16/2023,GQ2305121,VESPASIANO/MG,SDS
BRAR,RA-2023-0071,BR0012777,BR0012882,106,282.83,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/28/2023,NA,NA,5/2/2023,6/19/2023,GQ2305122,VESPASIANO/MG,SDS
BRAR,RA-2023-0072,BR0012883,BR0012934,52,135.78,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/4/2023,NA,NA,5/9/2023,6/26/2023,GQ2305468,VESPASIANO/MG,SDS
BRAR,RA-2023-0073,BR0012935,BR0012976,42,108.04,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/4/2023,NA,Dy- Gd- Nd- Pr- Sm e Tb,5/9/2023,6/23/2023,GQ2305470,VESPASIANO/MG,SDS
BRAR,RA-2023-0074,BR0012977,BR0013013,37,95.14,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/4/2023,NA,Dy- Gd- Nd- Pr- Sm e Tb,5/9/2023,6/23/2023,GQ2305476,VESPASIANO/MG,SDS
BRAR,RA-2023-0075,BR0013014,BR0013055,42,107.68,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/4/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb + U,5/9/2023,6/23/2023,GQ2305477,VESPASIANO/MG,SDS
BRAR,RA-2023-0077,BR0003832,BR0003969,138,352.83,Auger,Aratama,ALS,PREP-31,ME-MS61L+ME-MS81,5/4/2023,ME-OGREE,Th,5/9/2023,5/26/2023,BH23124977,VESPASIANO/MG,SSG
BRAR,RA-2023-0078,BR1004658,BR1004667,10,22.91,RockChip,Aratama,ALS,PREP-31,ME-MS61L+ME-MS81,5/4/2023,ME-OGREE,Th,5/9/2023,5/26/2023,BH23124980,VESPASIANO/MG,SSG
